MatchNumber,GoalMinute,PlayerCountry,PlayerName
1,29,Brazil,Neymar
1,71,Brazil,Neymar
1,90,Brazil,Oscar
1,11,Croatia,Marcelo
2,61,Mexico,Oribe Peralta
3,27,Spain,Xabi Alonso
3,44,Netherlands,Robin Van Persie
3,53,Netherlands,Arjen Robben
3,65,Netherlands,Stefan De Vrij
3,72,Netherlands,Robin Van Persie
3,80,Netherlands,Arjen Robben
4,12,Chile,Alexis Sánchez
4,14,Chile,Jorge Valdívia
4,90,Chile,Jean Beausejour
4,35,Australia,Cahill
5,5,Colombia,Pablo Armero
5,58,Colombia,Teofilo Gutiérrez
5,90,Colombia,James Rodríguez
6,64,Côte d'Ivoire,Wilfried Bony
6,66,Côte d'Ivoire,Gervinho
6,16,Japan,Keisuke Honda
7,24,Uruguay,Edinson Cavani
7,54,Costa Rica,Joel Campbell
7,57,Costa Rica,Oscar Duarte
7,84,Costa Rica,Marcos Ureña
8,37,England,Daniel Sturridge
8,35,Italy,Claudio Marchisio
8,50,Italy,Mario Balotelli
9,48,Switzerland,Admir Mehmedi
9,90,Switzerland,Haris Seferović
9,22,Ecuador,Enner Valencia
10,45,France,Karim Benzema
10,48,France,Noel Valladares
10,72,France,Karim Benzema
11,3,Argentina,Sead Kolašinac
11,65,Argentina,Lionel Messi
11,85,Bosnia-Herzegovina,Vedad Ibišević
12,0,NA,NA
13,12,Germany,Thomas Müller
13,32,Germany,Mats Hummels
13,45,Germany,Thomas Müller
13,78,Germany,Thomas Müller
14,82,Ghana,André Ayew
14,1,United States,Clint Dempsey
14,86,United States,John Brooks
15,70,Belgium,Marouane Fellaini
15,80,Belgium,Dries Mertens
15,25,Algeria,Sofiane Feghouli
16,74,Russia,Alexander Kerzhakov
16,68,South Korea,Lee Keunho
17,0,NA,NA
18,11,Croatia,Ivica Olić
18,48,Croatia,Ivan Perišić
18,61,Croatia,Mario Mandžukić
18,73,Croatia,Mario Mandžukić
19,20,Chile,Eduardo Vargas
19,43,Chile,Charles Aránguiz
20,21,Australia,Tim Cahill
20,54,Australia,Mile Jedinak
20,20,Netherlands,Arjen Robben
20,58,Netherlands,Robin Van Persie
20,68,Netherlands,Memphis Depay
21,64,Colombia,James Rodríguez
21,70,Colombia,Juan Quintero
21,73,Côte d'Ivoire,Gervinho
22,0,NA,NA
23,39,Uruguay,Luis Suárez
23,85,Uruguay,Luis Suárez
23,75,England,Wayne Rooney
24,44,Costa Rica,Bryan Ruiz
25,81,Switzerland,Blerim Džemaili
25,87,Switzerland,Granit Xhaka
25,17,France,Olivier Giroud
25,18,France,Blaise Matuidi
25,40,France,Mathieu Valbuena
25,67,France,Karim Benzema
25,73,France,Moussa Sissoko
26,31,Honduras,Carlo Costly
26,34,Ecuador,Enner Valencia
26,65,Ecuador,Enner Valencia
27,90,Argentina,Lionel Messi
28,29,Nigeria,Peter Odemwingie
29,51,Germany,Mario Götze
29,71,Germany,Miroslav Klose
29,54,Ghana,André Ayew
29,63,Ghana,Asamoah Gyan
30,64,United States,Jermaine Jones
30,81,United States,Clint Dempsey
30,5,Portugal,Nani
30,90,Portugal,Varela
31,88,Belgium,Divock Origi
32,50,South Korea,Son Heung Min
32,72,South Korea,Koo Jacheol
32,26,Algeria,Islam Slimani
32,28,Algeria,Rafik Halliche
32,38,Algeria,Abdelmoumene Djabou
32,62,Algeria,Yacine Brahimi
33,26,Cameroon,Joel Matip
33,17,Brazil,Neymar
33,35,Brazil,Neymar
33,49,Brazil,Fred
33,84,Brazil,Fernandinho
34,87,Croatia,Ivan Perišić
34,72,Mexico,Rafael Márquez
34,75,Mexico,Andres Guardado
34,82,Mexico,Javier Hernández
35,36,Spain,David Villa
35,69,Spain,Fernando Torres
35,82,Spain,Juan Mata
36,77,Netherlands,Leroy Fer
36,90,Netherlands,Memphis Depay
37,45,Japan,Shinji Okazaki
37,17,Colombia,Juan Cuadrado
37,55,Colombia,Jackson Martínez
37,82,Colombia,Jackson Martínez
37,90,Colombia,James Rodríguez
38,42,Greece,Andreas Samaris
38,90,Greece,Georgios Samaras
38,74,Côte d'Ivoire,Wilfried Bony
39,81,Uruguay,Diego Godín
40,0,NA,NA
41,6,Switzerland,Xherdan Shaqiri
41,31,Switzerland,Xherdan Shaqiri
41,71,Switzerland,Xherdan Shaqiri
42,0,NA,NA
43,4,Nigeria,Ahmed Musa
43,47,Nigeria,Ahmed Musa
43,3,Argentina,Lionel Messi
43,45,Argentina,Lionel Messi
43,50,Argentina,Marcos Rojo
44,23,Bosnia-Herzegovina,Edin Džeko
44,59,Bosnia-Herzegovina,Miralem Pjanić
44,83,Bosnia-Herzegovina,Avdija Vršajević
44,82,Iran,Reza Ghoochannejhad
45,55,Germany,Thomas Müller
46,31,Portugal,John Boye
46,80,Portugal,Cristiano Ronaldo
46,57,Ghana,Asamoah Gyan
47,78,Belgium,Jan Vertonghen
48,60,Algeria,Islam Slimani
48,6,Russia,Alexander Kokorin
49,18,Brazil,David Luiz
49,32,Chile,Alexis Sánchez
50,28,Colombia,James Rodríguez
50,50,Colombia,James Rodríguez
51,88,Netherlands,Wesley Sneijder
51,90,Netherlands,Klaas Jan Huntelaar
51,48,Mexico,Giovani dos Santos
52,52,Costa Rica,Bryan Ruiz
52,90,Greece,Socratis Papastathopoulos
53,79,France,Paul Pogba
53,90,France,Joseph Yobo
54,92,Germany,André Schürrle
54,120,Germany,Mesut Özil
54,121,Algeria,Abdelmoumene Djabou
55,118,Argentina,Ángel di María
56,93,Belgium,Kevin De Bruyne
56,105,Belgium,Romelu Lukaku
56,107,United States,Julian Green
57,7,Brazil,Thiago Silva
57,69,Brazil,David Luiz
57,80,Colombia,James Rodríguez
58,13,Germany,Mats Hummels
59,0,NA,NA
60,8,Argentina,Gonzalo Higuaín
61,90,Brazil,Oscar
61,11,Germany,Thomas Müller
61,23,Germany,Miroslav Klose
61,24,Germany,Toni Kroos
61,26,Germany,Toni Kroos
61,29,Germany,Sami Khedira
61,69,Germany,Andre Schürrle
61,79,Germany,Andre Schürrle
62,0,NA,NA
63,3,Netherlands,Robin Van Persie
63,17,Netherlands,Daley Blind
63,90,Netherlands,Georginio Wijnaldum
64,113,Germany,Mario Götze
