,City Name,Stadium Capacity,StadiumCode,StadiumName,latitude,longitude
0,Samara,45000,samara,Samara Arena,53.2780019,50.2374999567568
1,Nizhny Novgorod,45000,nizhnynovgorod,Nizhny Novgorod Stadium,56.33750015,43.9649065593695
2,Volgograd,45000,volgograd,Volgograd Arena,48.73446415,44.5474317506279
3,Ekaterinburg,35000,ekaterinburg,Ekaterinburg Arena,56.8995877,60.6076395413137
4,Saransk,44000,mordovia,Mordovia Arena,54.18822045,45.1839699691853
5,Rostov-on-Don,45000,rostov,Rostov Arena,47.2093548,39.7382823627058
6,Kaliningrad,35000,kaliningrad,Kaliningrad Stadium,54.6981202,20.5338220371092
7,Kazan,45000,kazan,Kazan Arena,55.82111475,49.1606498631111
8,Sochi,45000,fisht,Fisht Stadium,43.40202205,39.9559390973326
9,Saint Petersburg,67000,saintpetersburg,Krestovsky Stadium,59.9729812,30.2205413939002
10,Moscow,45000,spartak,Spartak Stadium,43.4696213,43.5906709503814
11,Moscow,80000,luzhniki,Luzhniki Stadium,55.7157422,37.5520737881489
