MatchNumber,MatchLineup,ScoreLine
WC-2018-1,Russia-Saudi Arabia,5-0
WC-2018-2,Egypt-Uruguay,0-1
WC-2018-3,Portugal-Spain,3-3
WC-2018-4,Morocco-Iran,0-1
WC-2018-5,France-Australia,2-1
WC-2018-6,Peru-Denmark,0-1
WC-2018-7,Argentina-Iceland,1-1
WC-2018-8,Croatia-Nigeria,2-0
WC-2018-9,Brazil-Switzerland,1-1
WC-2018-10,Costa Rica-Serbia,0-1
WC-2018-11,Germany-Mexico,0-1
WC-2018-12,Sweden-South Korea,1-0
WC-2018-13,Belgium-Panama,3-0
WC-2018-14,Tunisia-England,1-2
WC-2018-15,Poland-Senegal,1-2
WC-2018-16,Colombia-Japan,1-2
WC-2018-17,Russia-Egypt,3-1
WC-2018-18,Uruguay-Saudi Arabia,1-0
WC-2018-19,Portugal-Morocco,1-0
WC-2018-20,Iran-Spain,0-1
WC-2018-21,France-Peru,1-0
WC-2018-22,Denmark-Australia,1-1
WC-2018-23,Argentina-Croatia,0-3
WC-2018-24,Nigeria-Iceland,2-0
WC-2018-25,Brazil-Costa Rica,2-0
WC-2018-26,Serbia-Switzerland,1-2
WC-2018-27,Germany-Sweden,2-1
WC-2018-28,South Korea-Mexico,1-2
WC-2018-29,Belgium-Tunisia,5-2
WC-2018-30,England-Panama,6-1
WC-2018-31,Poland-Colombia,0-3
WC-2018-32,Japan-Senegal,2-2
WC-2018-33,Uruguay-Russia,3-0
WC-2018-34,Saudi Arabia-Egypt,2-1
WC-2018-35,Iran-Portugal,1-1
WC-2018-36,Spain-Morocco,2-2
WC-2018-37,Denmark-France,0-0
WC-2018-38,Australia-Peru,0-2
WC-2018-39,Nigeria-Argentina,1-2
WC-2018-40,Iceland-Croatia,1-2
WC-2018-41,Serbia-Brazil,0-2
WC-2018-42,Switzerland-Costa Rica,2-2
WC-2018-43,South Korea-Germany,2-0
WC-2018-44,Mexico-Sweden,0-3
WC-2018-45,England-Belgium,0-1
WC-2018-46,Panama-Tunisia,1-2
WC-2018-47,Japan-Poland,0-1
WC-2018-48,Senegal-Colombia,0-1
WC-2018-49,Uruguay-Portugal,2-1
WC-2018-50,France-Argentina,4-3
WC-2018-51,Spain-Russia,1-1
WC-2018-52,Croatia-Denmark,1-1
WC-2018-53,Brazil-Mexico,2-0
WC-2018-54,Belgium-Japan,3-2
WC-2018-55,Sweden-Switzerland,1-0
WC-2018-56,Colombia-England,1-1
WC-2018-57,Uruguay-France,0-2
WC-2018-58,Brazil-Belgium,1-2
WC-2018-59,Russia-Croatia,1-1
WC-2018-60,Sweden-England,0-2
WC-2018-61,France-Belgium,1-0
WC-2018-62,Croatia-England,1-1
WC-2018-63,Belgium-England,2-0
WC-2018-64,France-Croatia,4-2
