,Country,Drawn,GoalsAgainst,Group,Losses,Played,Points,PositionGroup,Won
0,BRA,1,2,Group A,0,3,7,1,2
1,MEX,1,1,Group A,0,3,7,2,2
2,CRO,0,6,Group A,2,3,3,3,1
3,CMR,0,9,Group A,3,3,0,4,0
4,NED,0,3,Group B,0,3,9,1,3
5,CHI,0,3,Group B,1,3,6,2,2
6,ESP,0,7,Group B,2,3,3,3,1
7,AUS,0,9,Group B,3,3,0,4,0
8,COL,0,2,Group C,0,3,9,1,3
9,GRE,1,4,Group C,1,3,4,2,1
10,CIV,0,5,Group C,2,3,3,3,1
11,JPN,1,6,Group C,2,3,1,4,0
12,CRC,1,1,Group D,0,3,7,1,2
13,URU,0,4,Group D,1,3,6,2,2
14,ITA,0,3,Group D,2,3,3,3,1
15,ENG,1,4,Group D,2,3,1,4,0
16,FRA,1,2,Group E,0,3,7,1,2
17,SUI,0,6,Group E,1,3,6,2,2
18,ECU,1,3,Group E,1,3,4,3,1
19,HON,0,8,Group E,3,3,0,4,0
20,ARG,0,3,Group F,0,3,9,1,3
21,NGA,1,3,Group F,1,3,4,2,1
22,BIH,0,4,Group F,2,3,3,3,1
23,IRN,1,4,Group F,2,3,1,4,0
24,GER,1,2,Group G,0,3,7,1,2
25,USA,1,4,Group G,1,3,4,2,1
26,POR,1,7,Group G,1,3,4,3,1
27,GHA,1,6,Group G,2,3,1,4,0
28,BEL,0,1,Group H,0,3,9,1,3
29,ALG,1,5,Group H,1,3,4,2,1
30,RUS,2,3,Group H,1,3,2,3,0
31,KOR,1,6,Group H,2,3,1,4,0
